Hr-Leitura	Dt-Leitura	Segundos96	Hr-Recepcao	Dt-Recepcao	Resets	      VAL-ChuvaAc[mm]	      MED-UmidAr[%UR]	       MED-TempAr[oC]	  MED-DirVento[graus]	    MED-VelVento[m/s]	   MED-RadSolar[W/m2]	     MED-TempSolo[oC]	     MED-PresAtm[hPa]	     VAL-TensaoRef[V]	     MED-TensaoRef[V]	     MIN-TensaoRef[V]	     MAX-TensaoRef[V]	     VAL-TensaoBat[V]	      VAL-CorCarga[A]	     VAL-UmidInt[%UR]	      VAL-TempInt[oC]
  00:00:00	01/12/2013	 565401600	   00:11:55	 01/12/2013	     8	        +2,80000e+001	        +1,00128e+002	        +1,94177e+001	        +2,61277e+002	        +0,00000e+000	        +0,00000e+000	        -1,77693e+001	        +9,15436e+002	        +2,50122e+000	        +2,50122e+000	        +2,50031e+000	        +2,50183e+000	        +1,20154e+001	        -1,58691e-003	        +7,37000e+001	        +2,24400e+001
  00:10:00	01/12/2013	 565402200	   00:11:55	 01/12/2013	     8	        +2,80000e+001	        +1,00121e+002	        +1,93948e+001	        +5,51514e+000	        +0,00000e+000	        +0,00000e+000	        -1,77608e+001	        +9,15289e+002	        +2,50092e+000	        +2,50061e+000	        +2,50000e+000	        +2,50153e+000	        +1,20135e+001	        -1,58691e-003	        +7,36000e+001	        +2,24300e+001
  00:20:00	01/12/2013	 565402800	   00:21:54	 01/12/2013	     8	        +2,80000e+001	        +1,00128e+002	        +1,93109e+001	        +2,12520e+002	        +0,00000e+000	        +0,00000e+000	        -1,77608e+001	        +9,15216e+002	        +2,50061e+000	        +2,50092e+000	        +2,49969e+000	        +2,50153e+000	        +1,20099e+001	        -1,58691e-003	        +7,36000e+001	        +2,23800e+001
  00:30:00	01/12/2013	 565403400	   00:31:54	 01/12/2013	     8	        +2,80000e+001	        +1,00121e+002	        +1,93948e+001	        +2,32537e+002	        +0,00000e+000	        +0,00000e+000	        -1,77693e+001	        +9,14996e+002	        +2,50061e+000	        +2,50061e+000	        +2,50031e+000	        +2,50183e+000	        +1,20026e+001	        -1,58691e-003	        +7,36000e+001	        +2,23600e+001
  00:40:00	01/12/2013	 565404000	   00:41:54	 01/12/2013	     8	        +2,80000e+001	        +1,00128e+002	        +1,93185e+001	        +2,62573e+002	        +0,00000e+000	        +0,00000e+000	        -1,77608e+001	        +9,14813e+002	        +2,50000e+000	        +2,50061e+000	        +2,49969e+000	        +2,50153e+000	        +1,20007e+001	        -1,58691e-003	        +7,36000e+001	        +2,24000e+001
  00:50:00	01/12/2013	 565404600	   00:51:54	 01/12/2013	     8	        +2,80000e+001	        +1,00128e+002	        +1,93185e+001	        +2,66924e+002	        +0,00000e+000	        +0,00000e+000	        -1,77608e+001	        +9,14740e+002	        +2,50061e+000	        +2,50092e+000	        +2,50031e+000	        +2,50153e+000	        +1,19916e+001	        -1,28174e-003	        +7,36000e+001	        +2,23800e+001
  01:00:00	01/12/2013	 565405200	   01:01:54	 01/12/2013	     8	        +2,80000e+001	        +1,00128e+002	        +1,93796e+001	        +2,50356e+002	        +0,00000e+000	        +0,00000e+000	        -1,77608e+001	        +9,14740e+002	        +2,49939e+000	        +2,50061e+000	        +2,49939e+000	        +2,50153e+000	        +1,19916e+001	        -1,58691e-003	        +7,35000e+001	        +2,23800e+001
  01:10:00	01/12/2013	 565405800	   01:11:54	 01/12/2013	     8	        +2,80000e+001	        +1,00121e+002	        +1,93185e+001	        +2,24824e+002	        +0,00000e+000	        +0,00000e+000	        -1,77608e+001	        +9,14557e+002	        +2,50092e+000	        +2,50061e+000	        +2,50031e+000	        +2,50153e+000	        +1,19879e+001	        -1,28174e-003	        +7,35000e+001	        +2,23900e+001
  01:20:00	01/12/2013	 565406400	   01:21:54	 01/12/2013	     8	        +2,80000e+001	        +1,00128e+002	        +1,93185e+001	        +2,55059e+002	        +0,00000e+000	        +0,00000e+000	        -1,77608e+001	        +9,14447e+002	        +2,50153e+000	        +2,50092e+000	        +2,49939e+000	        +2,50183e+000	        +1,19751e+001	        -1,58691e-003	        +7,34000e+001	        +2,23700e+001
  01:30:00	01/12/2013	 565407000	   01:31:54	 01/12/2013	     8	        +2,80000e+001	        +1,00121e+002	        +1,94025e+001	        +1,73364e+001	        +0,00000e+000	        +0,00000e+000	        -1,77524e+001	        +9,14447e+002	        +2,50153e+000	        +2,50092e+000	        +2,50031e+000	        +2,50153e+000	        +1,19714e+001	        -1,58691e-003	        +7,34000e+001	        +2,23800e+001
